iter	Passed	Remaining
666	2647	1321
667	2651	1318
668	2655	1313
669	2659	1309
670	2663	1305
671	2667	1301
672	2671	1298
673	2674	1293
674	2678	1289
675	2682	1285
676	2686	1281
677	2691	1278
678	2694	1274
679	2698	1270
680	2702	1266
681	2706	1262
682	2711	1258
683	2714	1254
684	2720	1250
685	2724	1246
686	2727	1242
687	2732	1238
688	2736	1235
689	2740	1231
690	2745	1227
691	2749	1223
692	2753	1219
693	2757	1215
694	2761	1212
695	2765	1208
696	2769	1204
697	2774	1200
698	2778	1196
699	2782	1192
700	2787	1188
701	2791	1184
702	2795	1180
703	2799	1177
704	2804	1173
705	2808	1169
706	2812	1165
707	2816	1161
708	2820	1157
709	2824	1153
710	2827	1149
711	2831	1145
712	2835	1141
713	2839	1137
714	2842	1133
715	2846	1129
716	2850	1125
717	2854	1121
718	2859	1117
719	2863	1113
720	2867	1109
721	2870	1105
722	2874	1101
723	2878	1097
724	2881	1093
725	2885	1089
726	2889	1085
727	2894	1081
728	2898	1077
729	2902	1073
730	2906	1069
731	2910	1065
732	2915	1061
733	2920	1058
734	2924	1054
735	2928	1050
736	2933	1046
737	2937	1042
738	2942	1039
739	2947	1035
740	2951	1031
741	2956	1028
742	2961	1024
743	2965	1020
744	2969	1016
745	2973	1012
746	2977	1008
747	2982	1004
748	2987	1001
749	2992	997
750	2996	993
751	3000	989
752	3004	985
753	3008	981
754	3012	977
755	3016	973
756	3021	969
757	3024	965
758	3028	961
759	3032	957
760	3036	953
761	3039	949
762	3043	945
763	3047	941
764	3051	937
765	3055	933
766	3059	929
767	3062	925
768	3066	921
769	3070	917
770	3073	913
771	3077	908
772	3081	904
773	3085	900
774	3089	896
775	3093	893
776	3097	888
777	3101	884
778	3104	880
779	3108	876
780	3111	872
781	3115	868
782	3119	864
783	3122	860
784	3126	856
785	3129	852
786	3133	848
787	3136	843
788	3140	839
789	3144	835
790	3148	831
791	3151	827
792	3156	823
793	3159	819
794	3163	815
795	3168	811
796	3172	807
797	3176	804
798	3180	800
799	3184	796
800	3188	792
801	3192	788
802	3196	784
803	3200	780
804	3204	776
805	3207	772
806	3211	768
807	3216	764
808	3220	760
809	3224	756
810	3228	752
811	3232	748
812	3236	744
813	3240	740
814	3244	736
815	3248	732
816	3253	728
817	3260	725
818	3265	721
819	3271	718
820	3276	714
821	3281	710
822	3285	706
823	3291	702
824	3297	699
825	3301	695
826	3305	691
827	3310	687
828	3314	683
829	3319	679
830	3324	676
831	3328	672
832	3333	668
833	3338	664
834	3343	660
835	3348	656
836	3352	652
837	3358	649
838	3363	645
839	3367	641
840	3372	637
841	3377	633
842	3381	629
843	3385	625
844	3389	621
845	3393	617
846	3398	613
847	3403	610
848	3407	606
849	3412	602
850	3417	598
851	3421	594
852	3425	590
853	3429	586
854	3434	582
855	3439	578
856	3443	574
857	3447	570
858	3451	566
859	3455	562
860	3460	558
861	3464	554
862	3468	550
863	3473	546
864	3477	542
865	3481	538
866	3486	534
867	3490	530
868	3494	526
869	3499	522
870	3504	518
871	3508	514
872	3512	510
873	3516	506
874	3520	502
875	3524	498
876	3529	494
877	3533	491
878	3538	487
879	3542	483
880	3546	479
881	3550	474
882	3554	470
883	3558	466
884	3562	462
885	3567	459
886	3571	455
887	3575	450
888	3580	447
889	3584	443
890	3588	438
891	3592	435
892	3596	430
893	3601	426
894	3605	422
895	3609	419
896	3615	415
897	3620	411
898	3625	407
899	3630	403
900	3634	399
901	3638	395
902	3643	391
903	3646	387
904	3651	383
905	3655	379
906	3659	375
907	3664	371
908	3668	367
909	3672	363
910	3676	359
911	3679	355
912	3683	351
913	3687	346
914	3691	342
915	3695	338
916	3699	334
917	3703	330
918	3707	326
919	3711	322
920	3715	318
921	3719	314
922	3724	310
923	3728	306
924	3732	302
925	3736	298
926	3740	294
927	3744	290
928	3748	286
929	3752	282
930	3755	278
931	3759	274
932	3764	270
933	3767	266
934	3772	262
935	3776	258
936	3780	254
937	3784	250
938	3788	246
939	3792	242
940	3797	238
941	3801	234
942	3805	230
943	3810	226
944	3815	222
945	3819	218
946	3823	213
947	3827	209
948	3831	205
949	3835	201
950	3838	197
951	3842	193
952	3846	189
953	3849	185
954	3853	181
955	3857	177
956	3861	173
957	3865	169
958	3868	165
959	3872	161
960	3875	157
961	3880	153
962	3884	149
963	3887	145
964	3891	141
965	3895	137
966	3899	133
967	3902	129
968	3906	124
969	3910	120
970	3914	116
971	3918	112
972	3921	108
973	3925	104
974	3929	100
975	3932	96
976	3936	92
977	3940	88
978	3943	84
979	3947	80
980	3952	76
981	3956	72
982	3960	68
983	3963	64
984	3967	60
985	3971	56
986	3975	52
987	3978	48
988	3982	44
989	3986	40
990	3990	36
991	3994	32
992	3998	28
993	4002	24
994	4006	20
995	4009	16
996	4013	12
997	4017	8
998	4021	4
999	4025	0
